duration,v_3,v_4,v_5,v_7,v_8,v_9,Headlines AVG Score,v_12,v_13,v_15,v_17,v_18,v_16,v_25,v_26,v_23,v_24,v_14,v_1,v_2
107,2,1,1,1,1,1,4,4,5,5,5,4,5,0,0,6,2,5,2,1
1308,1,1,1,1,1,1,4,1,1,1,1,1,1,0,0,1,1,1,0,0
67,2,1,1,1,1,1,4,6,6,6,6,5,6,4,4,4,4,4,2,1
170,1,2,3,3,3,1,10,1,1,1,1,1,1,3,1,5,3,3,2,1
1451,5,2,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3
218,5,2,2,2,2,1,7,4,3,5,2,5,5,2,1,2,5,5,2,2
310,5,2,3,3,3,3,12,4,3,4,2,6,5,5,4,6,4,3,3,1
163,5,2,3,3,3,3,12,2,2,3,4,5,5,1,1,2,5,3,2,2
389,5,1,1,2,1,1,5,5,4,4,6,4,7,6,1,5,2,6,2,1
192,1,2,1,1,3,1,6,1,2,2,7,4,4,5,1,4,7,4,2,2
460,5,2,2,1,1,2,6,2,1,1,7,5,5,1,1,3,6,2,2,2
128,5,2,1,1,2,1,5,2,2,4,7,6,2,2,1,6,5,3,2,2
195,1,2,1,1,2,2,6,2,1,2,6,5,5,2,1,3,7,1,2,1
206,5,2,3,3,3,3,12,4,4,5,4,4,3,1,1,4,7,5,2,2
266,5,1,1,1,1,2,5,4,2,2,5,2,5,4,1,3,6,2,2,2
53,3,1,2,1,2,2,7,5,4,6,5,4,6,5,5,4,5,6,3,1
178,5,2,2,3,2,2,9,2,2,2,4,5,7,4,1,1,7,1,3,2
178,1,3,2,2,2,2,8,1,2,1,5,6,5,1,1,1,4,1,2,2
150,5,2,3,3,3,3,12,1,4,2,1,2,1,1,1,1,7,2,3,2
235,5,2,3,3,3,3,12,2,2,2,4,3,4,1,1,3,7,3,2,2
338,1,1,3,3,3,2,11,2,2,2,4,3,3,2,1,3,7,3,2,2
292,5,2,3,3,3,3,12,1,2,2,5,5,6,3,1,1,6,6,2,2
127,5,2,3,2,2,2,9,1,1,1,6,2,1,1,1,4,3,1,2,1
144,1,2,2,2,2,2,8,1,2,1,6,7,7,2,1,6,6,2,2,1
263,2,2,2,2,2,3,9,2,4,3,7,7,7,3,2,6,3,3,3,2
239,5,2,1,2,3,2,8,2,4,3,5,5,7,2,1,2,5,1,2,1
224,5,2,3,3,3,3,12,4,2,2,2,4,5,3,2,3,5,1,2,1
273,5,2,3,2,1,2,8,3,2,3,4,5,4,2,1,4,2,3,2,1
325,5,2,2,1,1,1,5,3,3,2,4,5,4,1,1,4,6,2,2,2
139,5,2,3,3,3,3,12,1,1,1,1,1,1,1,1,5,7,1,2,2
157,5,1,3,1,2,3,9,7,1,3,4,5,4,3,3,4,3,3,2,2
259,5,2,1,1,1,1,4,4,6,3,7,4,3,1,1,5,5,7,2,2
159,5,2,2,3,3,2,10,1,3,2,7,7,7,3,1,5,1,1,3,1
443,1,2,1,1,2,1,5,4,3,2,5,1,5,6,3,7,4,5,2,2
229,5,3,3,1,3,2,9,7,1,3,5,2,1,4,1,1,7,1,1,2
326,5,2,2,2,2,2,8,2,2,2,7,7,6,3,1,4,7,2,2,1
156,5,2,2,2,3,2,9,3,2,2,6,5,5,2,1,2,6,2,2,2
206,5,2,3,3,1,3,10,2,3,3,7,3,3,2,1,4,6,4,2,2
222,1,2,1,1,1,1,4,1,1,1,7,5,6,1,1,4,5,5,2,2
246,5,3,3,3,3,2,11,2,2,3,7,5,5,2,1,3,4,5,2,2
278,1,2,1,2,1,2,6,3,4,2,5,4,4,7,1,2,7,3,2,2
191,1,1,2,2,2,2,8,2,1,2,5,7,6,5,3,5,5,4,3,1
112,1,2,2,2,2,2,8,2,2,1,1,1,4,3,4,3,3,3,2,2
141,5,2,2,2,1,2,7,1,2,1,7,5,7,5,3,6,2,1,3,1
262,1,2,1,1,1,1,4,1,5,4,1,1,2,3,3,4,2,3,3,1
202,5,2,3,3,3,3,12,3,4,3,3,5,5,1,1,3,6,2,2,2
267,5,3,1,1,3,1,6,3,3,3,5,4,5,4,2,5,3,5,2,1
174,5,2,3,1,3,1,8,1,2,1,7,5,6,2,2,3,4,2,2,1
39,3,1,1,1,2,1,5,4,4,4,4,5,3,6,4,4,3,5,3,1
304,3,1,2,2,3,2,9,3,2,2,6,5,5,3,2,2,2,3,2,1
172,5,2,1,1,2,1,5,1,1,2,7,3,3,2,2,5,7,3,3,2
212,2,1,3,3,1,1,8,1,1,1,6,6,5,2,1,5,7,2,3,2
247,3,2,3,3,3,3,12,1,1,1,4,1,2,1,1,5,7,1,2,2
